PageName,PageRoute,Category,RequiresAdmin,IsActive,DisplayOrder
--------,---------,--------,-------------,--------,------------
Device Setup,/admin/users/{TargetUserId:int}/devices,ADMINISTRATION,1,1,43
Manage Users,/users,ADMINISTRATION,1,1,50
Live Activity Feed,/admin/users/live-activity,ADMINISTRATION,1,1,51
Active Device Sessions,/admin/users/active-sessions,ADMINISTRATION,1,1,52
Security & Access Hub,/admin/security-settings,ADMINISTRATION,1,1,53
Administrative Logs,/admin/audit-logs,ADMINISTRATION,1,1,54
Data Export,/export,ADMINISTRATION,1,1,55
Document Manager,/admin/documents,ADMINISTRATION,1,1,102
Import,/admin/import,ADMINISTRATION,1,1,106
Notification Preferences,/admin/notification-preferences,ADMINISTRATION,1,1,108
Notification Routing,/admin/notification-routing,ADMINISTRATION,1,1,109
Review Moderation,/admin/review-moderation,ADMINISTRATION,1,1,112
Video Access Monitoring,/admin/video-access-monitoring,ADMINISTRATION,1,1,116
Vpn Profile Manager,/admin/vpn-profiles,ADMINISTRATION,1,1,117
Blackout Manager,/admin/blackout-dates,ADMINISTRATION,1,1,119
Form Builder,/admin/form-builder/{FormId:int},ADMINISTRATION,1,1,121
Media Manager,/admin/media,ADMINISTRATION,1,1,123
End of Shift Sales,/operations/end-of-shift,BARTENDERS,0,0,110
Bartender Schedule,/admin/staff-shifts,BARTENDERS,1,1,111
View Monitor,/cameras/view,CAMERA SYSTEM,0,1,90
System Setup,/cameras/configure,CAMERA SYSTEM,1,1,91
Audit Log,/cameras/audit,CAMERA SYSTEM,1,1,92
Camera Discovery,/cameras/discover,CAMERA SYSTEM,0,1,93
Camera Management,/cameras,CAMERA SYSTEM,0,1,94
Event Playback,/cameras/{CameraId:int}/playback,CAMERA SYSTEM,0,1,95
Secure Access,/cameras/secure-access,CAMERA SYSTEM,0,1,96
Controller Events Page,/controllers/events,CONTROLLERS,0,1,5
Controller Status Page,/controllers/{ControllerId:int}/status,CONTROLLERS,0,1,6
Access Controllers,/controllers,CONTROLLERS,1,1,20
Search Controller,/controllers/discovery,CONTROLLERS,1,1,21
Access Holidays,/controllers/schedules/holidays,CONTROLLERS,1,1,22
Access Admin,/controllers/access-admin,CONTROLLERS,0,1,75
Advanced Modes,/controllers/advanced-modes,CONTROLLERS,0,1,76
