Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0246	The type or namespace name 'ISimulationGuard' could not be found (are you missing a using directive or an assembly reference?)	GFC.BlazorServer	C:\Users\hnsil\Documents\GFC\cursor files\GFC-System\GFC-Studio V2\apps\webapp\GFC.BlazorServer\Services\MemberAccessService.cs	50	
Error (active)	CS0246	The type or namespace name 'ISimulationGuard' could not be found (are you missing a using directive or an assembly reference?)	GFC.BlazorServer	C:\Users\hnsil\Documents\GFC\cursor files\GFC-System\GFC-Studio V2\apps\webapp\GFC.BlazorServer\Services\MemberAccessService.cs	34	
Error (active)	CS0246	The type or namespace name 'ISimulationGuard' could not be found (are you missing a using directive or an assembly reference?)	GFC.BlazorServer	C:\Users\hnsil\Documents\GFC\cursor files\GFC-System\GFC-Studio V2\apps\webapp\GFC.BlazorServer\Services\DoorConfigSyncService.cs	30	
Error (active)	CS0246	The type or namespace name 'ISimulationGuard' could not be found (are you missing a using directive or an assembly reference?)	GFC.BlazorServer	C:\Users\hnsil\Documents\GFC\cursor files\GFC-System\GFC-Studio V2\apps\webapp\GFC.BlazorServer\Services\DoorConfigSyncService.cs	21	
Error (active)	CS0246	The type or namespace name 'ISimulationGuard' could not be found (are you missing a using directive or an assembly reference?)	GFC.BlazorServer	C:\Users\hnsil\Documents\GFC\cursor files\GFC-System\GFC-Studio V2\apps\webapp\GFC.BlazorServer\Services\Controllers\ControllerNetworkConfigService.cs	28	
Error (active)	CS0246	The type or namespace name 'ISimulationGuard' could not be found (are you missing a using directive or an assembly reference?)	GFC.BlazorServer	C:\Users\hnsil\Documents\GFC\cursor files\GFC-System\GFC-Studio V2\apps\webapp\GFC.BlazorServer\Services\Controllers\ControllerNetworkConfigService.cs	21	
Error (active)	CS0246	The type or namespace name 'ISimulationGuard' could not be found (are you missing a using directive or an assembly reference?)	GFC.BlazorServer	C:\Users\hnsil\Documents\GFC\cursor files\GFC-System\GFC-Studio V2\apps\webapp\GFC.BlazorServer\Services\AutoOpenAndAdvancedModesService.cs	22	
Error (active)	CS0246	The type or namespace name 'ISimulationGuard' could not be found (are you missing a using directive or an assembly reference?)	GFC.BlazorServer	C:\Users\hnsil\Documents\GFC\cursor files\GFC-System\GFC-Studio V2\apps\webapp\GFC.BlazorServer\Services\AutoOpenAndAdvancedModesService.cs	16	
Error (active)	CS0234	The type or namespace name 'SimulationReplay' does not exist in the namespace 'GFC.BlazorServer.Services' (are you missing an assembly reference?)	GFC.BlazorServer	C:\Users\hnsil\Documents\GFC\cursor files\GFC-System\GFC-Studio V2\apps\webapp\GFC.BlazorServer\Program.cs	17	
Error (active)	CS0246	The type or namespace name 'AccessControlSimulationOptions' could not be found (are you missing a using directive or an assembly reference?)	GFC.BlazorServer	C:\Users\hnsil\Documents\GFC\cursor files\GFC-System\GFC-Studio V2\apps\webapp\GFC.BlazorServer\Components\Pages\MemberAccessControl.razor	14	
